Year,Month,Cape Ferguson,Rosslyn Bay,Global
1996,1,60,73,0
1996,2,115,145,-0.3
1996,3,132,89,3.7
1996,4,2,40,2.9
1996,5,26,56,4.8
1996,6,-47,-20,5.4
1996,7,-93,-41,6.1
1996,8,-73,-48,5.3
1996,9,-123,-88,7.1
1996,10,-42,-65,7.8
1996,11,-82,-46,6.4
1996,12,-8,-1,3.6
1997,1,80,66,2.1
1997,2,60,21,4.9
1997,3,237,197,5.3
1997,4,51,61,7.6
1997,5,-39,16,7.3
1997,6,-24,7,10.5
1997,7,-58,-55,10.9
1997,8,-105,-82,14.3
1997,9,-180,-136,12.5
1997,10,-94,-91,13
1997,11,-123,-95,8.7
1997,12,-65,-2,10.3
1998,1,130,29,10.4
1998,2,82,74,15.3
1998,3,147,127,15.8
1998,4,103,87,17.3
1998,5,65,79,14.8
1998,6,0,20,15.5
1998,7,-56,-68,14.2
1998,8,-42,-24,15.2
1998,9,16,22,14.1
1998,10,36,44,13.8
1998,11,49,36,13.4
1998,12,97,93,13.8
1999,1,133,134,15.8
1999,2,143,185,15.8
1999,3,164,145,15.6
1999,4,179,161,13.1
1999,5,120,138,12.8
1999,6,12,36,12.2
1999,7,-16,22,14
1999,8,-57,-65,13.4
1999,9,-72,-46,16
1999,10,-55,-33,13.8
1999,11,25,0,17.1
1999,12,62,60,15.4
2000,1,44,34,19.4
2000,2,197,124,18.4
2000,3,177,109,19.8
2000,4,199,132,16.8
2000,5,119,118,17.2
2000,6,27,17,15
2000,7,-64,-34,17.3
2000,8,-61,-31,16.3
2000,9,-62,-50,19.6
2000,10,-23,-11,18.3
2000,11,7,7,18.9
2000,12,63,67,17.9
2001,1,123,101,19.8
2001,2,174,124,21.6
2001,3,121,134,22.6
2001,4,171,145,22.4
2001,5,-9,46,21.7
2001,6,57,27,22.7
2001,7,-87,-53,22.7
2001,8,-46,-20,24.9
2001,9,-54,-53,23.1
2001,10,-62,-22,24.3
2001,11,-22,3,21.2
2001,12,-48,3,22.9
2002,1,28,82,23.3
2002,2,87,107,25.5
2002,3,164,125,25.2
2002,4,50,15,25.3
2002,5,26,25,24.6
2002,6,4,47,26
2002,7,-53,-41,27.4
2002,8,-37,-19,28.2
2002,9,-111,-71,28.2
2002,10,-82,-70,26.3
2002,11,14,4,26
2002,12,-37,-13,25.7
2003,1,92,86,27.7
2003,2,58,110,29.2
2003,3,120,122,29.6
2003,4,120,144,28.9
2003,5,49,41,27.5
2003,6,36,56,27.1
2003,7,-31,-53,26.6
2003,8,-60,-21,28.4
2003,9,-97,-55,28.6
2003,10,-65.5,-60,28.4
2003,11,-34,-24,27.3
2003,12,28,71,28.6
2004,1,-7,5,29.9
2004,2,66,82,31.6
2004,3,180,157,31.4
2004,4,121,99,31
2004,5,21,36,29.9
2004,6,37,37,30
2004,7,-77,-82,30.1
2004,8,-129,-77,31.1
2004,9,-122,-120,29.9
2004,10,-123,-85,29
2004,11,-14,10,28.8
2004,12,-59,-26,29.9
2005,1,38,67,32.3
2005,2,83,126,33.7
2005,3,108,141,34.4
2005,4,107,81,34.1
2005,5,3,61,33.6
2005,6,-6,22,33.9
2005,7,-30,-25,34
2005,8,-32,-20,33.9
2005,9,-129,-89,33.7
2005,10,-100,-46,34.3
2005,11,-5,49,35.3
2005,12,-40,23,35.1
2006,1,21,49,35.6
2006,2,128,103,35.3
2006,3,174,114,36.2
2006,4,112,105,35.7
2006,5,49,42,35.8
2006,6,-1,9,36.3
2006,7,-61,-49,36.7
2006,8,-93,-57,36.7
2006,9,-54,-64,36.6
2006,10,-23,-34,35.1
2006,11,-52,-61,34.9
2006,12,2,-23,33.8
2007,1,16,-25,35.2
2007,2,191,92,35.4
2007,3,143,96,37.8
2007,4,132,85,37.7
2007,5,55,34,37.5
2007,6,22,41,35.5
2007,7,-41,-31,35.4
2007,8,-34,-53,35
2007,9,-74,-60,35.1
2007,10,-8,-16,35.8
2007,11,19,-4,36
2007,12,59,87,37.3
2008,1,148,158,37.1
2008,2,118,161,39.3
2008,3,222,158,39.5
2008,4,80,87,42.1
2008,5,-24,1,42.3
2008,6,-30,9,43.3
2008,7,-51,18,41.9
2008,8,-97,-81,41.9
2008,9,-85,-65,41.4
2008,10,-8,-36,41.9
2008,11,-23,32,41.7
2008,12,-21,-2,43.7
2009,1,243,168,45.1
2009,2,200,130,45.5
2009,3,226,177,45.5
2009,4,99,99,45.1
2009,5,121,122,46.4
2009,6,-34,-13,45.8
2009,7,-27,-25,45.2
2009,8,-91,-99,43.4
2009,9,-104,-44,43.4
2009,10,-7,44,44.9
2009,11,44,-47,48
2009,12,43,58,50.4
2010,1,146,87,50.4
2010,2,144,182,49.4
2010,3,232,205,48
2010,4,146,124,48.4
2010,5,139,159,49.1
2010,6,98,105,50.2
2010,7,53,48,49.4
2010,8,12,8,47.4
2010,9,59,43,44.1
2010,10,125,84,44.1
2010,11,119,69,45.3
2010,12,155,223,47.9
2011,1,264,290,48.1
2011,2,285,225,47.9
2011,3,169,155,45.7
2011,4,272,239,45.3
2011,5,122,137,44.8
2011,6,42,75,46.5
2011,7,-2,12,45.5
2011,8,-49,-35,46
2011,9,-39,-21,44.6
2011,10,-16,12,47.1
2011,11,28,2,48.7
2011,12,113,116,52.5
2012,1,108,133,55.3
2012,2,171,171,57.1
2012,3,157,135,57.1
